InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,revenue
536589,21777,,-10,2010-12-01 16:50:00,0.0,,United Kingdom,-0.0
536764,84952C,,-38,2010-12-02 14:42:00,0.0,,United Kingdom,-0.0
536996,22712,,-20,2010-12-03 15:30:00,0.0,,United Kingdom,-0.0
536997,22028,,-20,2010-12-03 15:30:00,0.0,,United Kingdom,-0.0
536998,85067,,-6,2010-12-03 15:30:00,0.0,,United Kingdom,-0.0
537000,21414,,-22,2010-12-03 15:32:00,0.0,,United Kingdom,-0.0
537001,21653,,-6,2010-12-03 15:33:00,0.0,,United Kingdom,-0.0
537003,85126,,-2,2010-12-03 15:33:00,0.0,,United Kingdom,-0.0
537004,21814,,-30,2010-12-03 15:34:00,0.0,,United Kingdom,-0.0
537005,21692,,-70,2010-12-03 15:35:00,0.0,,United Kingdom,-0.0
537006,21648,,-130,2010-12-03 15:36:00,0.0,,United Kingdom,-0.0
537007,21172,,-80,2010-12-03 15:36:00,0.0,,United Kingdom,-0.0
537008,21161,,-120,2010-12-03 15:37:00,0.0,,United Kingdom,-0.0
537009,84534B,,-80,2010-12-03 15:38:00,0.0,,United Kingdom,-0.0
537010,22162,,-40,2010-12-03 15:38:00,0.0,,United Kingdom,-0.0
537011,22139,,-5,2010-12-03 15:38:00,0.0,,United Kingdom,-0.0
537012,21535,,-12,2010-12-03 15:39:00,0.0,,United Kingdom,-0.0
537013,35965,,-25,2010-12-03 15:40:00,0.0,,United Kingdom,-0.0
537014,21040,,-20,2010-12-03 15:40:00,0.0,,United Kingdom,-0.0
537015,37464,,-14,2010-12-03 15:41:00,0.0,,United Kingdom,-0.0
537016,21836,,-15,2010-12-03 15:41:00,0.0,,United Kingdom,-0.0
537017,47556B,,-69,2010-12-03 15:41:00,0.0,,United Kingdom,-0.0
537018,84562A,,-3,2010-12-03 15:42:00,0.0,,United Kingdom,-0.0
537019,37474,,-15,2010-12-03 15:43:00,0.0,,United Kingdom,-0.0
537020,21807,,-30,2010-12-03 15:43:00,0.0,,United Kingdom,-0.0
537021,21011,,-20,2010-12-03 15:43:00,0.0,,United Kingdom,-0.0
537027,18098C,,-140,2010-12-03 16:36:00,0.0,,United Kingdom,-0.0
537028,21696,,-320,2010-12-03 16:36:00,0.0,,United Kingdom,-0.0
537029,37476,,-6,2010-12-03 16:37:00,0.0,,United Kingdom,-0.0
537032,21275,?,-30,2010-12-03 16:50:00,0.0,,United Kingdom,-0.0
537363,84569B,,-20,2010-12-06 12:35:00,0.0,,United Kingdom,-0.0
537364,21027,,-70,2010-12-06 12:36:00,0.0,,United Kingdom,-0.0
537401,84898F,,-24,2010-12-06 14:37:00,0.0,,United Kingdom,-0.0
537425,84968F,check,-20,2010-12-06 15:35:00,0.0,,United Kingdom,-0.0
537426,84968E,check,-35,2010-12-06 15:36:00,0.0,,United Kingdom,-0.0
537427,84968B,,-21,2010-12-06 15:37:00,0.0,,United Kingdom,-0.0
