Country_name,Country_ISO3,Year,Indicator_name,Indicator_code,Value
"Egypt, Arab Rep.",EGY,2020,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,6.3
"Egypt, Arab Rep.",EGY,2016,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,4.9
"Egypt, Arab Rep.",EGY,2013,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,7.1
"Egypt, Arab Rep.",EGY,2020,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,5.2
"Egypt, Arab Rep.",EGY,2016,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,17.8
"Egypt, Arab Rep.",EGY,2013,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,16.1
"Egypt, Arab Rep.",EGY,2008,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,34.0
"Egypt, Arab Rep.",EGY,2007,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,20.9
"Egypt, Arab Rep.",EGY,2021,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,90.86
"Egypt, Arab Rep.",EGY,2017,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,86.81055
"Egypt, Arab Rep.",EGY,2015,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,5.59
"Egypt, Arab Rep.",EGY,2014,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,94.08
"Egypt, Arab Rep.",EGY,2013,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,90.3254
"Egypt, Arab Rep.",EGY,2012,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,86.05159
"Egypt, Arab Rep.",EGY,2010,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,84.30693
"Egypt, Arab Rep.",EGY,2008,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,87.73
"Egypt, Arab Rep.",EGY,2006,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,81.75145
"Egypt, Arab Rep.",EGY,2005,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,78.77518
"Egypt, Arab Rep.",EGY,2000,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,77.19
"Egypt, Arab Rep.",EGY,1996,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,66.93154
"Egypt, Arab Rep.",EGY,1986,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,54.00466
"Egypt, Arab Rep.",EGY,1976,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,38.12264
"Egypt, Arab Rep.",EGY,2021,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.98622
"Egypt, Arab Rep.",EGY,2017,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.97013
"Egypt, Arab Rep.",EGY,2015,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1.1270125
"Egypt, Arab Rep.",EGY,2013,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.96451
"Egypt, Arab Rep.",EGY,2012,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.93174
"Egypt, Arab Rep.",EGY,2010,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.93098
