unnamed:_0,field_id,elevation,latitude,longitude,location,slope,rainfall,min_temperature_c,max_temperature_c,ave_temps,soil_fertility,soil_type,ph,pollution_level,plot_size,chosen_crop,annual_yield,standard_yield
0,0,913.7698,-1.1089747,-2.0380497,Rural_Kilimani,10.546762466430664,1404.1,-1.6,28.899999618530273,13.649999618530273,0.63,Volcanic,5.34893,0.036370993,3.6,coffee,1.6100958585739136,0.44724885
1,1,912.09564,-3.8123906,-4.042603,Rural_Kilimani,8.228242874145508,797.8,-2.3,28.0,12.850000381469727,0.58,Rocky,6.133324,0.20941515,4.1,coffee,1.486639380455017,0.36259496
2,2,676.61273,-7.926089,-1.754259,Rural_Sokoto,3.150498628616333,1405.0,-3.9,32.099998474121094,14.100000381469727,0.61,Volcanic,5.891146,0.34028682,11.0,banana,5.498215198516846,0.49983773
3,3,549.8818,-1.0368836,-4.384954,Rural_Kilimani,23.5913028717041,452.1,-5.9,32.70000076293945,13.399999618530273,0.6,Loamy,4.835693,0.015593536,1.3,cassava,0.6600812673568726,0.5077548
4,4,792.6537,-3.163571,-2.8353665,Rural_Kilimani,28.081357955932617,928.5,-3.3,31.200000762939453,13.949999809265137,0.65,Sandy,5.102048,0.3873497,1.1,potato,0.5975574254989624,0.54323405
5,5,559.24115,-6.5158067,-0.42990234,Rural_Sokoto,2.4336113929748535,1176.6,-5.1,30.700000762939453,12.800000190734863,0.59,Loamy,4.8520117,0.891896,11.5,cassava,5.274631500244141,0.4586636
6,6,376.71564,-13.9502,-7.200338,Rural_Hawassa,1.6285059452056885,1477.0,-6.5,32.900001525878906,13.199999809265137,0.61,Peaty,5.133396,3.6089194e-08,9.4,banana,4.074568271636963,0.43346468
7,7,531.4227,-6.9979157,-3.6552064,Rural_Hawassa,3.5884032249450684,738.2,-5.7,33.0,13.649999618530273,0.56,Loamy,5.584474,0.14222512,13.9,wheat,7.869505301117897,0.62820494
8,8,624.4518,-5.957101,-4.466037,Rural_Hawassa,2.313244342803955,524.7,-5.2,30.700000762939453,12.75,0.54,Loamy,6.492051,0.22243954,13.9,maize,7.869505301117897,0.66673124
9,9,814.17114,-6.8447223,-8.200362,Rural_Amanzi,34.732852935791016,1096.2,-2.9,31.899999618530273,14.5,0.68,Sandy,6.1333466,0.12577276,1.1,coffee,0.44171303510665894,0.4015573
10,10,576.9298,-9.273291,-4.9975815,Rural_Hawassa,20.23118019104004,1427.6,-4.8,31.700000762939453,13.449999809265137,0.66,Silt,6.4773393,0.022758808,1.7,wheat,0.9876578450202942,0.58097523
11,11,697.5326,-2.0957215,-6.380498,Rural_Kilimani,27.17587661743164,450.6,-4.6,31.299999237060547,13.350000381469727,0.61,Sandy,6.4363956,0.31363288,1.3,wheat,0.7191064357757568,0.5531588
12,12,343.74905,-11.9767065,-8.583255,Rural_Akatsi,1.5771116018295288,1817.6,-6.5,30.700000762939453,12.100000381469727,0.63,Silt,6.502601,0.1403005,10.7,banana,4.950438022613525,0.46265775
13,13,726.4352,-9.913099,-5.6957965,Rural_Hawassa,5.465699672698975,1795.6,-3.1,28.100000381469727,12.5,0.64,Volcanic,4.3741717,0.20516053,4.8,tea,3.8613381385803223,0.80444545
14,14,631.08765,-7.389911,-4.1417046,Rural_Hawassa,16.735126495361328,887.0,-4.8,31.5,13.350000381469727,0.61,Loamy,5.6906557,0.0869758,0.6,potato,0.39724165201187134,0.6620694
15,15,618.6424,-4.6098986,-7.4030457,Rural_Kilimani,17.37569808959961,457.5,-5.3,30.0,12.350000381469727,0.58,Loamy,4.7597966,0.38082024,0.6,wheat,0.31916460394859314,0.531941
16,16,333.25983,-13.648319,-6.9345655,Rural_Hawassa,3.5556375980377197,1526.6,-6.8,32.79999923706055,13.0,0.62,Silt,7.029132,1.6997042e-07,5.2,banana,1.7435132265090942,0.33529103
17,17,664.85956,-4.965848,-1.6641667,Rural_Kilimani,0.5101314187049866,978.7,-4.4,30.799999237060547,13.199999809265137,0.57,Sandy,5.47457,0.799555,13.3,wheat,3.859201669692993,0.29016554
18,18,515.0366,-1.5865782,-3.5696187,Rural_Kilimani,27.194387435913086,563.8,-6.1,34.20000076293945,14.050000190734863,0.62,Loamy,4.553489,0.074231185,1.7,potato,1.0107446908950806,0.59455574
19,19,624.432,-5.9120436,-2.5695941,Rural_Hawassa,5.877786636352539,801.0,-5.0,32.599998474121094,13.800000190734863,0.57,Loamy,5.789969,0.48126504,4.6,potato,2.7736546993255615,0.60296845
20,20,737.6345,-2.1542954,-0.42089313,Rural_Kilimani,3.7873752117156982,1445.2,-3.3,32.70000076293945,14.699999809265137,0.61,Volcanic,5.38224,0.111217104,13.9,cassava,7.335655212402344,0.49565238
21,21,421.1565,-1.0053438,-3.8894463,Rural_Kilimani,10.057943344116211,414.5,-7.1,34.5,13.699999809265137,0.55,Loamy,6.0900173,0.017998796,4.4,potato,2.6834030151367188,0.6098643
22,22,788.11414,-10.075304,0.2728175,Rural_Sokoto,1.8189724683761597,2200.2,-2.1,30.5,14.199999809265137,0.66,Volcanic,5.767607,0.35273272,9.6,banana,5.486330032348633,0.57149273
23,23,363.39597,-10.92688,-6.1777906,Rural_Hawassa,20.20245361328125,1682.0,-6.5,32.5,13.0,0.68,Silt,6.913684,0.13000542,1.7,rice,0.9017111659049988,0.53041834
24,24,536.32605,-9.958157,-2.9795141,Rural_Hawassa,7.080288887023926,1705.0,-4.9,29.799999237060547,12.449999809265137,0.64,Silt,6.851455,0.010679879,2.4,wheat,1.283440113067627,0.53476673
25,25,411.52777,-10.980948,-5.8039074,Rural_Hawassa,6.410976886749268,1736.7,-6.0,31.799999237060547,12.899999618530273,0.64,Silt,6.5517077,0.103263795,3.9,coffee,2.031877040863037,0.52099407
26,26,623.1101,-7.3989224,-4.348917,Rural_Hawassa,13.914857864379883,863.2,-4.9,31.799999237060547,13.449999809265137,0.6,Loamy,6.4462676,0.09438351,0.7,maize,0.46883514523506165,0.66976446
27,27,480.47485,-1.6676806,-5.0110955,Rural_Kilimani,12.209676742553711,283.9,-6.7,32.5,12.899999618530273,0.55,Loamy,5.055743,0.08937036,1.9,potato,1.161717176437378,0.6114301
28,28,633.6594,-7.9981794,-5.5111074,Rural_Hawassa,15.45215892791748,1025.8,-4.6,34.20000076293945,14.800000190734863,0.62,Loamy,5.9507103,0.2896012,1.3,cassava,0.8339026570320129,0.6414636
29,29,751.02295,-2.3029835,-0.5199946,Rural_Kilimani,30.967992782592773,1427.9,-3.2,30.0,13.399999618530273,0.7,Volcanic,5.3794317,0.13592415,1.1,tea,0.7877545952796936,0.71614057
30,30,802.6907,-3.6501856,-1.776782,Rural_Kilimani,0.26264387369155884,1144.9,-3.0,32.599998474121094,14.800000190734863,0.58,Sandy,6.798528,0.52436495,7.6,coffee,1.967603325843811,0.25889516
31,31,662.55945,-8.637988,-4.4705415,Rural_Hawassa,27.022052764892578,1310.3,-4.1,30.799999237060547,13.350000381469727,0.67,Volcanic,4.0131207,0.034670014,1.7,cassava,0.6210824847221375,0.36534262
32,32,719.0935,-7.331337,-0.24971777,Rural_Sokoto,11.748456954956055,1499.8,-3.4,30.200000762939453,13.399999618530273,0.64,Volcanic,5.722153,0.53066546,3.4,coffee,1.4705147743225098,0.43250436
33,33,739.81934,-4.8982625,-1.3713667,Rural_Kilimani,1.4609572887420654,1113.8,-3.6,30.899999618530273,13.649999618530273,0.58,Sandy,6.5415654,0.85861003,10.7,coffee,2.122687816619873,0.19838203
34,34,796.8511,-5.9120436,-7.7318826,Rural_Amanzi,4.805801868438721,810.9,-3.4,29.0,12.800000190734863,0.57,Sandy,6.131833,0.39443177,2.1,wheat,1.0935248136520386,0.52072614
35,35,741.92645,-2.4516714,-3.484031,Rural_Kilimani,23.074926376342773,775.6,-3.9,31.0,13.550000190734863,0.62,Sandy,5.0529532,0.22419733,1.4,wheat,0.618683934211731,0.44191712
36,36,738.8039,-4.2043858,-2.6101358,Rural_Kilimani,5.756669044494629,882.4,-3.7,31.899999618530273,14.100000381469727,0.58,Sandy,6.426581,0.35290408,3.8,maize,1.8802495002746582,0.4948025
37,37,772.6048,-6.1148,0.12416523,Rural_Sokoto,3.281930685043335,1424.2,-2.9,30.399999618530273,13.75,0.61,Volcanic,4.0593605,0.97910696,11.2,tea,4.526114463806152,0.40411735
38,38,648.41595,-9.687815,-2.3173358,Rural_Hawassa,17.277631759643555,1803.2,-3.8,31.100000381469727,13.649999618530273,0.68,Volcanic,5.285166,0.20021492,1.9,tea,1.665292501449585,0.87646973
39,39,582.8222,-10.638515,-9.425617,Rural_Akatsi,40.10652542114258,2014.0,-4.2,32.20000076293945,14.0,0.77,Silt,6.077194,0.047743734,1.5,coffee,0.823974072933197,0.54931605
40,40,751.1485,-3.5375433,-7.164301,Rural_Kilimani,24.635284423828125,554.3,-4.0,31.399999618530273,13.699999809265137,0.61,Sandy,5.644736,0.13916053,1.0,potato,0.6341222524642944,0.63412225
41,41,724.4491,-4.411648,-2.3894095,Rural_Kilimani,28.368038177490234,898.2,-3.9,31.5,13.800000190734863,0.65,Sandy,4.5638466,0.4166434,1.2,cassava,0.5315349102020264,0.44294575
42,42,562.3899,-5.0199165,0.011549865,Rural_Kilimani,9.999543190002441,1130.9,-5.2,32.0,13.399999618530273,0.61,Loamy,5.384661,0.78742206,4.1,banana,1.457131028175354,0.35539782
43,43,430.90576,-0.74851924,-4.2633295,Rural_Kilimani,18.28081703186035,350.1,-7.1,33.29999923706055,13.100000381469727,0.58,Loamy,5.3288145,0.008115636,0.6,potato,0.3867511451244354,0.64458525
44,44,521.1839,-9.584184,-4.515588,Rural_Hawassa,3.958570957183838,1488.3,-5.2,31.5,13.149999618530273,0.62,Silt,5.7649,0.010469184,11.7,cassava,5.800898551940918,0.49580333
45,45,352.63846,-12.666078,-8.249913,Rural_Akatsi,2.346471071243286,1764.0,-6.5,31.799999237060547,12.649999618530273,0.63,Silt,7.403579,0.01249198,11.7,banana,4.244460105895996,0.36277437
46,46,677.30115,-8.034225,-2.8578897,Rural_Hawassa,5.464015007019043,1281.0,-4.0,29.899999618530273,12.949999809265137,0.61,Volcanic,4.789854,0.11196333,2.6,wheat,1.1271129846572876,0.43350503
47,47,882.97363,-11.071062,0.007045251,Rural_Sokoto,12.417084693908691,2415.6,-1.1,30.299999237060547,14.600000381469727,0.71,Volcanic,4.931437,0.32137695,0.7,tea,0.4204193949699402,0.60059917
48,48,348.04813,-14.328679,-7.5516977,Rural_Hawassa,1.674973964691162,1311.5,-6.9,31.200000762939453,12.149999618530273,0.6,Peaty,5.341863,3.4082621e-09,8.2,banana,3.528672456741333,0.4303259
49,49,844.4794,-4.0692153,-5.339932,Rural_Kilimani,12.948395729064941,591.3,-3.1,32.29999923706055,14.600000381469727,0.58,Rocky,5.8347993,0.2417279,1.0,maize,0.56280916929245,0.56280917
50,50,595.8842,-1.6496578,-4.335403,Rural_Kilimani,15.009357452392578,497.7,-5.4,28.799999237060547,11.699999809265137,0.58,Loamy,5.2993855,0.047703948,1.4,potato,0.9603617787361145,0.6859727
51,51,765.6368,-6.317556,-7.87603,Rural_Amanzi,2.466405153274536,888.6,-3.4,30.200000762939453,13.399999618530273,0.57,Sandy,5.668061,0.30755165,9.4,wheat,4.4238457679748535,0.47062185
52,52,323.5712,-11.652297,-6.0922027,Rural_Hawassa,1.6096521615982056,1740.1,-6.7,32.29999923706055,12.800000190734863,0.63,Silt,7.1421947,0.008897736,13.9,banana,5.503270626068115,0.36934704
53,53,617.02545,-1.0729291,-3.0425787,Rural_Kilimani,15.532469749450684,818.5,-4.9,30.899999618530273,13.0,0.6,Loamy,5.7859974,0.036579806,0.7,potato,0.4678153097629547,0.66830754
54,54,791.6723,-8.381164,0.22777136,Rural_Sokoto,8.33161449432373,1839.2,-2.4,29.899999618530273,13.75,0.66,Volcanic,4.8461037,0.1314945,2.6,tea,2.1668856143951416,0.8334176
55,55,699.857,-8.4802885,-0.5019762,Rural_Sokoto,28.391910552978516,1716.0,-3.4,28.299999237060547,12.449999809265137,0.71,Volcanic,4.0262523,0.13089226,0.7,tea,0.5151209831237793,0.7358871
56,56,682.94977,-8.529852,1.1331989,Rural_Sokoto,7.4406208992004395,1785.3,-3.5,31.0,13.75,0.65,Volcanic,5.4808936,0.05461782,4.0,banana,2.3308980464935303,0.5827245
57,57,595.79346,-9.39945,-7.4616055,Rural_Akatsi,6.046030044555664,1577.5,-4.5,31.799999237060547,13.649999618530273,0.63,Silt,7.3921623,0.052785084,2.8,wheat,1.3547792434692383,0.48384976
58,58,818.9334,-2.0101132,-7.853507,Rural_Kilimani,11.042160987854004,688.5,-3.2,29.700000762939453,13.25,0.58,Sandy,6.0108037,0.025986325,3.4,potato,2.110224962234497,0.6206544
59,59,916.1268,-3.7583222,-3.8804371,Rural_Kilimani,4.922445774078369,829.5,-2.2,29.600000381469727,13.699999809265137,0.57,Rocky,6.2361636,0.22060351,2.7,coffee,0.9503474831581116,0.35198057
60,60,582.0468,-7.507059,-2.7677972,Rural_Hawassa,3.9680681228637695,1043.2,-5.1,34.099998474121094,14.5,0.58,Loamy,4.9963946,0.2425188,6.6,cassava,3.79590106010437,0.57513654
61,61,745.82074,-7.3989224,-0.23169932,Rural_Sokoto,2.0988881587982178,1542.9,-3.1,29.200000762939453,13.050000190734863,0.62,Volcanic,5.285955,0.49567422,6.1,cassava,2.602170705795288,0.42658535
62,62,771.5087,-3.717771,-0.4434162,Rural_Kilimani,1.396291732788086,1348.3,-3.1,32.5,14.699999809265137,0.6,Volcanic,5.6037693,0.56026924,11.6,coffee,4.391091823577881,0.3785424
63,63,719.2226,-6.9979157,0.13767907,Rural_Sokoto,5.204619884490967,1474.6,-3.4,29.799999237060547,13.199999809265137,0.62,Volcanic,4.377725,0.67083544,2.4,tea,1.2921535968780518,0.5383974
64,64,171.84935,-12.039786,-6.5877104,Rural_Hawassa,9.03043270111084,1595.1,-8.3,33.900001525878906,12.800000190734863,0.64,Silt,5.751388,0.00086685887,2.6,banana,1.140535593032837,0.43866754
