county,lat,lon,population,area_km2,region,hdi,hospitals,schools,poverty_rate
Nairobi,-1.2921,36.8219,4397073,696,Nairobi,0.805,254,1231,17.0
Mombasa,-3.9231,39.72,1208333,212,Coast,0.712,48,312,27.5
Kisumu,-0.0917,34.768,1155574,2086,Nyanza,0.654,61,487,35.2
Nakuru,-0.3031,36.08,2162202,7495,Rift Valley,0.673,89,723,28.9
Eldoret (Uasin Gishu),0.5143,35.2698,1163186,3345,Rift Valley,0.668,72,568,24.3
Kiambu,-1.0314,36.782,2417735,2449,Central,0.741,103,891,14.2
Machakos,-1.5177,37.2634,1421932,6208,Eastern,0.638,67,534,38.1
Nyeri,-0.4167,36.95,759164,3337,Central,0.697,44,389,21.6
Meru,0.0467,37.649,1545714,6936,Eastern,0.651,78,612,30.4
Kakamega,0.2827,34.7519,1867579,3051,Western,0.621,93,804,42.7
Kisii,-0.6817,34.766,1266860,1317,Nyanza,0.633,58,497,39.5
Kitui,-1.3667,38.0167,1136187,30496,Eastern,0.591,45,423,52.3
Makueni,-1.8036,37.6236,987653,8008,Eastern,0.601,39,367,47.8
Murang'a,-0.7833,37.0333,1056640,2558,Central,0.699,52,441,18.7
Bungoma,0.5635,34.5606,1670570,3032,Western,0.628,76,654,44.1
Busia,0.4606,34.1117,893681,1628,Western,0.599,41,378,48.6
Siaya,-0.0606,34.2878,993183,2530,Nyanza,0.618,49,421,43.9
Homa Bay,-0.5273,34.4571,1131950,3154,Nyanza,0.609,54,463,46.2
Migori,-1.0634,34.4731,1116436,2586,Nyanza,0.614,53,449,44.7
Vihiga,0.0706,34.7236,590013,531,Western,0.623,29,267,47.3
Trans Nzoia,1.0566,35.0012,990341,2495,Rift Valley,0.645,51,432,35.7
Nandi,0.1833,35.1167,885711,2884,Rift Valley,0.651,44,398,32.4
Elgeyo-Marakwet,0.7833,35.5667,454480,3049,Rift Valley,0.632,28,254,38.9
West Pokot,1.7333,35.1167,621241,9169,Rift Valley,0.482,22,187,64.3
Baringo,0.6833,36.0833,666763,11015,Rift Valley,0.591,35,298,45.6
Laikipia,0.3606,36.7817,518560,9709,Rift Valley,0.661,31,263,34.2
Nyandarua,-0.1833,36.35,638289,3304,Central,0.672,37,314,26.8
Kirinyaga,-0.5606,37.3034,610411,1478,Central,0.703,36,301,19.4
Embu,-0.5333,37.45,608599,2818,Eastern,0.668,38,318,27.3
Tharaka-Nithi,0.3,37.9,393177,2609,Eastern,0.619,24,211,41.2
Isiolo,0.354,38.2833,269717,25336,Eastern,0.516,14,118,60.7
Marsabit,2.3333,37.9833,459785,66923,Northern,0.437,11,94,72.4
Mandera,3.9366,41.867,867457,25797,Northern,0.362,9,78,80.1
Wajir,1.7471,40.0573,781263,56686,Northern,0.374,8,71,79.3
Garissa,-0.4532,39.6461,841353,44175,Northern,0.432,12,97,69.8
Tana River,-1.0333,39.7833,315943,35375,Coast,0.465,10,89,68.2
Lamu,-2.2686,40.902,143920,6497,Coast,0.583,8,74,50.1
Taita-Taveta,-3.4,38.35,340671,17083,Coast,0.603,21,186,45.3
Kwale,-4.175,39.452,866820,8270,Coast,0.561,34,298,50.7
Kilifi,-3.6305,39.8499,1453787,12245,Coast,0.573,48,412,55.9
Kajiado,-2.0981,36.782,1117840,21292,Rift Valley,0.683,52,437,28.6
Narok,-1.0833,35.8667,1157873,17921,Rift Valley,0.601,45,381,42.3
Bomet,-0.7819,35.3419,875689,1997,Rift Valley,0.627,42,367,41.8
Kericho,-0.3686,35.2864,901777,2479,Rift Valley,0.665,47,401,30.2
Nyamira,-0.5667,34.9333,605576,899,Nyanza,0.631,31,271,43.6
Samburu,1.2333,37.0833,310327,20182,Rift Valley,0.464,9,81,72.9
Turkana,3.1167,35.596,926976,68680,Rift Valley,0.366,8,74,79.4
Pokot (West),1.7333,35.1167,621241,9169,Rift Valley,0.482,22,187,64.3
