Unnamed: 0,Field_ID,Elevation,Latitude,Longitude,Location,Slope,Rainfall,Min_temperature_C,Max_temperature_C,Ave_temps,Soil_Fertility,Soil_Type,pH,Pollution_Level,Plot_Size,Chosen_Crop,Annual_Yield,Standard_Yield
0,0,913.7698,-1.1089747,-2.0380497,Rural_Kilimani,10.546762,1404.1,-1.6,28.9,13.65,0.63,Volcanic,5.34893,0.036370993,3.6,coffee,1.6100959,0.44724885
1,1,912.09564,-3.8123906,-4.042603,Rural_Kilimani,8.228243,797.8,-2.3,28.0,12.85,0.58,Rocky,6.133324,0.20941515,4.1,coffee,1.4866394,0.36259496
2,2,676.61273,-7.926089,-1.754259,Rural_Sokoto,3.1504986,1405.0,-3.9,32.1,14.1,0.61,Volcanic,5.891146,0.34028682,11.0,banana,5.498215,0.49983773
3,3,549.8818,-1.0368836,-4.384954,Rural_Kilimani,23.591303,452.1,-5.9,32.7,13.4,0.6,Loamy,4.835693,0.015593536,1.3,cassava,0.66008127,0.5077548
4,4,792.6537,-3.163571,-2.8353665,Rural_Kilimani,28.081358,928.5,-3.3,31.2,13.95,0.65,Sandy,5.102048,0.3873497,1.1,potato,0.5975574,0.54323405
5,5,559.24115,-6.5158067,-0.42990234,Rural_Sokoto,2.4336114,1176.6,-5.1,30.7,12.8,0.59,Loamy,4.8520117,0.891896,11.5,cassava,5.2746315,0.4586636
6,6,376.71564,-13.9502,-7.200338,Rural_Hawassa,1.628506,1477.0,-6.5,32.9,13.2,0.61,Peaty,5.133396,3.6089194e-08,9.4,banana,4.0745683,0.43346468
7,7,531.4227,-6.9979157,-3.6552064,Rural_Hawassa,3.5884032,738.2,-5.7,33.0,13.65,0.56,Loamy,5.584474,0.14222512,13.9,wheat,8.732048,0.62820494
8,8,624.4518,-5.957101,-4.466037,Rural_Hawassa,2.3132443,524.7,-5.2,30.7,12.75,0.54,Loamy,6.492051,0.22243954,14.6,maize,9.734276,0.66673124
9,9,814.17114,-6.8447223,-8.200362,Rural_Amanzi,34.732853,1096.2,-2.9,31.9,14.5,0.68,Sandy,6.1333466,0.12577276,1.1,coffee,0.44171304,0.4015573
10,10,576.9298,-9.273291,-4.9975815,Rural_Hawassa,20.23118,1427.6,-4.8,31.7,13.45,0.66,Silt,6.4773393,0.022758808,1.7,wheat,0.98765785,0.58097523
11,11,697.5326,-2.0957215,-6.380498,Rural_Kilimani,27.175877,450.6,-4.6,31.3,13.35,0.61,Sandy,6.4363956,0.31363288,1.3,wheat,0.71910644,0.5531588
12,12,343.74905,-11.9767065,-8.583255,Rural_Akatsi,1.5771116,1817.6,-6.5,30.7,12.1,0.63,Silt,6.502601,0.1403005,10.7,banana,4.950438,0.46265775
13,13,726.4352,-9.913099,-5.6957965,Rural_Hawassa,5.4656997,1795.6,-3.1,28.1,12.5,0.64,Volcanic,4.3741717,0.20516053,4.8,tea,3.8613381,0.80444545
14,14,631.08765,-7.389911,-4.1417046,Rural_Hawassa,16.735126,887.0,-4.8,31.5,13.35,0.61,Loamy,5.6906557,0.0869758,0.6,potato,0.39724165,0.6620694
15,15,618.6424,-4.6098986,-7.4030457,Rural_Kilimani,17.375698,457.5,-5.3,30.0,12.35,0.58,Loamy,4.7597966,0.38082024,0.6,wheat,0.3191646,0.531941
16,16,333.25983,-13.648319,-6.9345655,Rural_Hawassa,3.5556376,1526.6,-6.8,32.8,13.0,0.62,Silt,7.029132,1.6997042e-07,5.2,banana,1.7435132,0.33529103
17,17,664.85956,-4.965848,-1.6641667,Rural_Kilimani,0.5101314,978.7,-4.4,30.8,13.2,0.57,Sandy,5.47457,0.799555,13.3,wheat,3.8592017,0.29016554
18,18,515.0366,-1.5865782,-3.5696187,Rural_Kilimani,27.194387,563.8,-6.1,34.2,14.05,0.62,Loamy,4.553489,0.074231185,1.7,potato,1.0107447,0.59455574
19,19,624.432,-5.9120436,-2.5695941,Rural_Hawassa,5.8777866,801.0,-5.0,32.6,13.8,0.57,Loamy,5.789969,0.48126504,4.6,potato,2.7736547,0.60296845
20,20,737.6345,-2.1542954,-0.42089313,Rural_Kilimani,3.7873752,1445.2,-3.3,32.7,14.7,0.61,Volcanic,5.38224,0.111217104,14.8,cassava,7.335655,0.49565238
21,21,421.1565,-1.0053438,-3.8894463,Rural_Kilimani,10.057943,414.5,-7.1,34.5,13.7,0.55,Loamy,6.0900173,0.017998796,4.4,potato,2.683403,0.6098643
22,22,788.11414,-10.075304,0.2728175,Rural_Sokoto,1.8189725,2200.2,-2.1,30.5,14.2,0.66,Volcanic,5.767607,0.35273272,9.6,banana,5.48633,0.57149273
23,23,363.39597,-10.92688,-6.1777906,Rural_Hawassa,20.202454,1682.0,-6.5,32.5,13.0,0.68,Silt,6.913684,0.13000542,1.7,rice,0.90171117,0.53041834
24,24,536.32605,-9.958157,-2.9795141,Rural_Hawassa,7.080289,1705.0,-4.9,29.8,12.45,0.64,Silt,6.851455,0.010679879,2.4,wheat,1.2834401,0.53476673
