Payment dashboard,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Total Members-85,,,,,,,,,
Payments,,,,,,,Payments,,
,Full,Partial,,,,,,Paid,Non-payment
Primary Trunk,70,15,,,,,SecondaryTrunk,23,62
,,,,,,,,,
,Category,Full,Partial,,,,Category,Paid,Non-payment
,Primary Trunk,70,15,,,,SecondaryTrunk,23,62
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Secondary trunk payment on over 200k primary trunk payment,,,,,,,,,
No. of Secondary trunk payment,23,,,,,,,,
No. of those over 200k,70,,,,,,,,
Percentage of secondary Trunk,32.86%,,,,,,,,
Total Secondary Trunk payment(Kes),"5,054,000",,,,,,,,
