ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,impressions,clicks,spent,total_conversion,approved_conversion
708746,916,103916,30-34,M,15,7350.0,1,1.4299999475479126,2,1
708749,916,103917,30-34,M,16,17861.0,2,1.8200000524520874,2,0
708771,916,103920,30-34,M,20,693.0,0,0.0,1,0
708815,916,103928,30-34,M,28,4259.0,1,1.25,1,0
708818,916,103928,30-34,M,28,4133.0,1,1.2899999618530273,1,1
708820,916,103929,30-34,M,29,1915.0,0,0.0,1,1
708889,916,103940,30-34,M,15,15615.0,3,4.769999980926514,1,0
708895,916,103941,30-34,M,16,10951.0,1,1.2699999809265137,1,1
708953,916,103951,30-34,M,27,2355.0,1,1.5,1,0
708958,916,103952,30-34,M,28,9502.0,3,3.1600000858306885,1,0
708979,916,103955,30-34,M,31,1224.0,0,0.0,1,0
709023,916,103962,30-34,M,7,735.0,0,0.0,1,0
709038,916,103965,30-34,M,16,5117.0,0,0.0,1,0
709040,916,103965,30-34,M,16,5120.0,0,0.0,1,0
709059,916,103968,30-34,M,20,14669.0,7,10.280000686645508,1,1
709105,916,103976,30-34,M,28,1241.0,0,0.0,1,1
709115,916,103978,30-34,M,30,2305.0,1,0.5699999928474426,1,0
709124,916,103979,30-34,M,31,1024.0,0,0.0,1,1
709179,916,103988,35-39,M,15,4627.0,1,1.690000057220459,1,0
709183,916,103989,35-39,M,16,21026.0,4,4.630000114440918,2,1
709320,916,104012,35-39,M,15,1422.0,0,0.0,1,1
709323,916,104012,35-39,M,15,7132.0,2,2.609999895095825,1,0
709326,916,104013,35-39,M,16,12190.0,2,3.049999952316284,1,0
709327,916,104013,35-39,M,16,12193.0,2,3.059999942779541,1,1
709328,916,104013,35-39,M,16,3332.0,0,0.0,1,1
709455,916,104034,35-39,M,7,559.0,0,0.0,1,0
709544,916,104049,35-39,M,29,7440.0,2,2.9800000190734863,1,1
709614,916,104061,40-44,M,16,19113.0,4,5.519999980926514,1,0
709756,916,104085,40-44,M,16,10976.0,2,1.690000057220459,1,1
709761,916,104085,40-44,M,16,2861.0,0,0.0,1,0
709899,916,104108,40-44,M,15,1398.0,0,0.0,1,1
709901,916,104109,40-44,M,16,23817.0,7,8.470000267028809,1,1
710045,916,104133,45-49,M,16,47224.0,12,15.819999694824219,1,0
710088,916,104140,45-49,M,24,2283.0,1,1.4700000286102295,1,0
710360,916,104185,45-49,M,21,2182.0,1,1.5299999713897705,1,1
710477,916,104205,30-34,F,16,2654.0,0,0.0,1,1
710480,916,104205,30-34,F,16,57665.0,14,18.06999969482422,1,1
710571,916,104220,30-34,F,32,3091.0,1,1.6100000143051147,1,1
710617,916,104228,30-34,F,15,5014.0,1,1.190000057220459,1,0
710623,916,104229,30-34,F,16,38726.0,7,9.220000267028809,1,0
710628,916,104230,30-34,F,18,1473.0,0,0.0,1,0
710682,916,104239,30-34,F,27,1186.0,0,0.0,1,0
710763,916,104252,30-34,F,15,5369.0,1,1.5099999904632568,1,0
710836,916,104265,30-34,F,29,22221.0,7,9.430000305175781,1,1
710867,916,104270,30-34,F,63,1185.0,0,0.0,1,0
710880,916,104272,30-34,F,65,13019.0,5,6.960000038146973,1,0
710961,916,104285,35-39,F,25,2508.0,1,1.2200000286102295,1,0
710968,916,104287,35-39,F,27,5864.0,2,2.799999952316284,1,1
711217,916,104328,35-39,F,20,2783.0,1,1.600000023841858,1,0
711623,916,104396,40-44,F,15,3812.0,1,1.1299999952316284,2,1
711764,916,104419,45-49,F,10,11199.0,4,5.730000019073486,1,1
711785,916,104423,45-49,F,19,292.0,0,0.0,1,0
711877,916,104438,45-49,F,63,17572.0,7,9.380000114440918,1,0
712052,916,104467,45-49,F,10,1448.0,0,0.0,1,1
734209,936,108654,30-34,M,10,1772.0,0,0.0,1,1
734210,936,108654,30-34,M,10,13329.0,4,5.630000114440918,1,1
734215,936,108655,30-34,M,15,13659.0,3,3.8399999141693115,1,0
734243,936,108660,30-34,M,21,739.0,0,0.0,1,1
734266,936,108664,30-34,M,25,605.0,0,0.0,1,0
734272,936,108665,30-34,M,26,1030.0,0,0.0,1,0
734290,936,108668,30-34,M,29,5374.0,1,1.0399999618530273,4,0
734313,936,108672,30-34,M,36,790.0,0,0.0,1,1
734314,936,108672,30-34,M,36,962.0,0,0.0,1,0
734352,936,108678,35-39,M,10,4423.0,1,1.4600000381469727,1,1
734361,936,108680,35-39,M,16,12382.0,2,2.8399999141693115,1,1
734381,936,108683,35-39,M,20,2938.0,1,1.350000023841858,1,1
734399,936,108686,35-39,M,23,239.0,0,0.0,1,0
734418,936,108689,35-39,M,26,591.0,0,0.0,1,0
734421,936,108690,35-39,M,27,10332.0,4,5.75,1,0
734427,936,108691,35-39,M,28,8259.0,3,3.9800000190734863,1,0
734433,936,108692,35-39,M,29,12158.0,3,4.449999809265137,1,0
734582,936,108716,40-44,M,29,7709.0,2,1.3200000524520874,2,0
734605,936,108720,40-44,M,36,834.0,0,0.0,1,0
734660,936,108729,45-49,M,18,1299.0,0,0.0,2,0
