Country_Code,Country_Name,Latitude,Longitude,Crime_Index_2026,Homicide_Rate_per_100k,Safety_Index,Primary_Security_Challenge
PNG,Papua New Guinea,-6.3149,143.9555,80.9,9.4,19.1,Violent Crime & Infrastructure Gaps
VEN,Venezuela,6.4238,-66.5897,80.4,40.4,19.6,Organized Crime & Unrest
HTI,Haiti,18.9712,-72.2852,80.1,41.1,19.9,Gang Violence & Instability
ZAF,South Africa,-30.5595,22.9375,74.5,43.7,25.5,Property Crime & Assault
USA,United States,37.0902,-95.7129,49.2,6.3,50.8,Localized Gun Violence
IND,India,20.5937,78.9629,44.2,2.9,55.8,Public Safety & Property Theft
GBR,United Kingdom,55.3781,-3.436,46.8,1.1,53.2,Anti-Social Behavior & Theft
CHE,Switzerland,46.8182,8.2275,23.4,0.5,76.6,Low Risk / Minor Infractions
QAT,Qatar,25.3548,51.1839,15.2,0.1,84.8,Exceedingly Low Crime
ARE,United Arab Emirates,23.4241,53.8478,13.6,0.6,86.4,High-Security Infrastructure
