Field_ID,Elevation,Rainfall,Min_temperature_C,Max_temperature_C,pH,Pollution_level,Plot_size,Annual_yield,Crop_type
1162,494.95615,1507.6,-5.4,31.0,6.8594356,0.007034216,3.6,1.6174207,coffee
5108,663.7339,581.0,-4.7,30.9,5.603219,0.289643,4.2,2.5324974,potato
3504,396.8799,1715.1,-6.1,31.7,5.7741165,0.00040878548,2.6,1.2622073,banana
5351,594.8037,1748.0,-4.3,33.6,6.4774156,0.08877719,7.9,4.3515635,wheat
905,609.498,1395.8,-4.5,31.3,5.419586,0.050022516,10.8,5.0347915,cassava
2274,270.451,1665.2,-7.2,34.3,5.8730817,0.0015447467,3.9,1.743458,banana
3990,749.43427,728.0,-3.8,31.1,6.0980616,0.3307371,2.7,1.4041419,maize
1148,753.99786,1258.5,-3.3,28.7,5.9341545,0.03828047,8.2,4.6284924,wheat
2134,840.584,579.5,-3.1,28.1,5.697434,0.23292054,4.2,2.470872,potato
5632,618.01624,888.0,-4.9,26.9,5.2316303,0.49964577,0.7,0.35060355,wheat
3526,701.1468,1354.3,-3.7,26.1,5.1499786,0.2160737,14.9,6.4393406,wheat
1789,701.6991,581.4,-4.4,31.4,6.3482428,0.24024421,1.6,0.9386987,wheat
2337,739.63495,1160.8,-3.5,29.7,5.388973,0.062176615,3.2,1.4208033,wheat
4807,520.2977,292.3,-6.3,32.9,5.379286,0.19658922,1.4,0.8815679,potato
973,432.0357,1464.4,-6.0,30.2,7.4828024,0.019800296,3.0,1.3774344,wheat
4400,676.57086,1036.8,-4.2,29.1,5.345516,0.1582398,3.5,1.9854302,cassava
892,823.2931,598.1,-3.3,28.7,5.142679,0.3103022,2.2,1.345157,potato
361,588.61615,1051.7,-5.1,31.3,5.2010064,0.66024566,4.6,1.9688735,wheat
3803,500.45013,2009.6,-4.9,32.0,6.915592,0.014531574,2.9,1.4539189,wheat
4469,460.93362,1718.2,-5.6,31.4,7.3835735,0.21948068,3.4,1.4545809,wheat
2773,613.1408,1037.2,-4.8,29.5,5.486386,0.71855426,1.5,0.81339943,potato
4131,516.66833,1095.4,-5.6,32.6,6.2866297,0.7001856,1.2,0.5723581,maize
3381,764.19775,710.7,-4.0,28.5,6.573048,0.45907095,3.0,1.5886183,wheat
837,790.03217,1111.9,-3.1,28.8,5.0213614,0.5159138,9.7,3.1985016,wheat
1735,779.5538,1435.4,-2.9,29.7,5.2967143,0.10663761,2.6,1.1997266,coffee
388,497.49493,1152.3,-5.7,30.8,5.7170215,0.51925087,4.2,2.4367118,cassava
4516,299.92496,1649.3,-7.1,32.6,6.8657827,0.00037545845,2.2,0.81810325,banana
3870,603.9783,936.6,-5.0,28.2,5.175408,0.7140533,1.4,0.7536783,potato
1947,498.10596,374.3,-6.4,31.0,5.31322,0.013664557,2.8,1.8405429,potato
