field_id,elevation,latitude,longitude,location,slope
0,913.7698,-1.1089747,-2.0380497,Rural_Kilimani,10.546762466430664
1,912.09564,-3.8123906,-4.042603,Rural_Kilimani,8.228242874145508
2,676.61273,-7.926089,-1.754259,Rural_Sokoto,3.150498628616333
3,549.8818,-1.0368836,-4.384954,Rural_Kilimani,23.5913028717041
4,792.6537,-3.163571,-2.8353665,Rural_Kilimani,28.081357955932617
5,559.24115,-6.5158067,-0.42990234,Rural_Sokoto,2.4336113929748535
6,376.71564,-13.9502,-7.200338,Rural_Hawassa,1.6285059452056885
7,531.4227,-6.9979157,-3.6552064,Rural_Hawassa,3.5884032249450684
8,624.4518,-5.957101,-4.466037,Rural_Hawassa,2.313244342803955
9,814.17114,-6.8447223,-8.200362,Rural_Amanzi,34.732852935791016
10,576.9298,-9.273291,-4.9975815,Rural_Hawassa,20.23118019104004
11,697.5326,-2.0957215,-6.380498,Rural_Kilimani,27.17587661743164
12,343.74905,-11.9767065,-8.583255,Rural_Akatsi,1.5771116018295288
13,726.4352,-9.913099,-5.6957965,Rural_Hawassa,5.465699672698975
14,631.08765,-7.389911,-4.1417046,Rural_Hawassa,16.735126495361328
15,618.6424,-4.6098986,-7.4030457,Rural_Kilimani,17.37569808959961
16,333.25983,-13.648319,-6.9345655,Rural_Hawassa,3.5556375980377197
17,664.85956,-4.965848,-1.6641667,Rural_Kilimani,0.5101314187049866
18,515.0366,-1.5865782,-3.5696187,Rural_Kilimani,27.194387435913086
19,624.432,-5.9120436,-2.5695941,Rural_Hawassa,5.877786636352539
20,737.6345,-2.1542954,-0.42089313,Rural_Kilimani,3.7873752117156982
21,421.1565,-1.0053438,-3.8894463,Rural_Kilimani,10.057943344116211
22,788.11414,-10.075304,0.2728175,Rural_Sokoto,1.8189724683761597
23,363.39597,-10.92688,-6.1777906,Rural_Hawassa,20.20245361328125
24,536.32605,-9.958157,-2.9795141,Rural_Hawassa,7.080288887023926
25,411.52777,-10.980948,-5.8039074,Rural_Hawassa,6.410976886749268
26,623.1101,-7.3989224,-4.348917,Rural_Hawassa,13.914857864379883
27,480.47485,-1.6676806,-5.0110955,Rural_Kilimani,12.209676742553711
28,633.6594,-7.9981794,-5.5111074,Rural_Hawassa,15.45215892791748
29,751.02295,-2.3029835,-0.5199946,Rural_Kilimani,30.967992782592773
30,802.6907,-3.6501856,-1.776782,Rural_Kilimani,0.26264387369155884
31,662.55945,-8.637988,-4.4705415,Rural_Hawassa,27.022052764892578
32,719.0935,-7.331337,-0.24971777,Rural_Sokoto,11.748456954956055
33,739.81934,-4.8982625,-1.3713667,Rural_Kilimani,1.4609572887420654
34,796.8511,-5.9120436,-7.7318826,Rural_Amanzi,4.805801868438721
35,741.92645,-2.4516714,-3.484031,Rural_Kilimani,23.074926376342773
36,738.8039,-4.2043858,-2.6101358,Rural_Kilimani,5.756669044494629
37,772.6048,-6.1148,0.12416523,Rural_Sokoto,3.281930685043335
38,648.41595,-9.687815,-2.3173358,Rural_Hawassa,17.277631759643555
39,582.8222,-10.638515,-9.425617,Rural_Akatsi,40.10652542114258
40,751.1485,-3.5375433,-7.164301,Rural_Kilimani,24.635284423828125
