Field_ID,Elevation,Latitude,Longitude,Location,Slope
0,913.7698,-1.1089747,-2.0380497,Rural_Kilimani,10.546762
1,912.09564,-3.8123906,-4.042603,Rural_Kilimani,8.228243
2,676.61273,-7.926089,-1.754259,Rural_Sokoto,3.1504986
3,549.8818,-1.0368836,-4.384954,Rural_Kilimani,23.591303
4,792.6537,-3.163571,-2.8353665,Rural_Kilimani,28.081358
5,559.24115,-6.5158067,-0.42990234,Rural_Sokoto,2.4336114
6,376.71564,-13.9502,-7.200338,Rural_Hawassa,1.628506
7,531.4227,-6.9979157,-3.6552064,Rural_Hawassa,3.5884032
8,624.4518,-5.957101,-4.466037,Rural_Hawassa,2.3132443
9,814.17114,-6.8447223,-8.200362,Rural_Amanzi,34.732853
10,576.9298,-9.273291,-4.9975815,Rural_Hawassa,20.23118
11,697.5326,-2.0957215,-6.380498,Rural_Kilimani,27.175877
12,343.74905,-11.9767065,-8.583255,Rural_Akatsi,1.5771116
13,726.4352,-9.913099,-5.6957965,Rural_Hawassa,5.4656997
14,631.08765,-7.389911,-4.1417046,Rural_Hawassa,16.735126
15,618.6424,-4.6098986,-7.4030457,Rural_Kilimani,17.375698
16,333.25983,-13.648319,-6.9345655,Rural_Hawassa,3.5556376
17,664.85956,-4.965848,-1.6641667,Rural_Kilimani,0.5101314
18,515.0366,-1.5865782,-3.5696187,Rural_Kilimani,27.194387
19,624.432,-5.9120436,-2.5695941,Rural_Hawassa,5.8777866
20,737.6345,-2.1542954,-0.42089313,Rural_Kilimani,3.7873752
21,421.1565,-1.0053438,-3.8894463,Rural_Kilimani,10.057943
22,788.11414,-10.075304,0.2728175,Rural_Sokoto,1.8189725
23,363.39597,-10.92688,-6.1777906,Rural_Hawassa,20.202454
24,536.32605,-9.958157,-2.9795141,Rural_Hawassa,7.080289
25,411.52777,-10.980948,-5.8039074,Rural_Hawassa,6.410977
26,623.1101,-7.3989224,-4.348917,Rural_Hawassa,13.914858
27,480.47485,-1.6676806,-5.0110955,Rural_Kilimani,12.209677
28,633.6594,-7.9981794,-5.5111074,Rural_Hawassa,15.452159
29,751.02295,-2.3029835,-0.5199946,Rural_Kilimani,30.967993
30,802.6907,-3.6501856,-1.776782,Rural_Kilimani,0.26264387
31,662.55945,-8.637988,-4.4705415,Rural_Hawassa,27.022053
32,719.0935,-7.331337,-0.24971777,Rural_Sokoto,11.748457
33,739.81934,-4.8982625,-1.3713667,Rural_Kilimani,1.4609573
34,796.8511,-5.9120436,-7.7318826,Rural_Amanzi,4.805802
35,741.92645,-2.4516714,-3.484031,Rural_Kilimani,23.074926
36,738.8039,-4.2043858,-2.6101358,Rural_Kilimani,5.756669
37,772.6048,-6.1148,0.12416523,Rural_Sokoto,3.2819307
38,648.41595,-9.687815,-2.3173358,Rural_Hawassa,17.277632
39,582.8222,-10.638515,-9.425617,Rural_Akatsi,40.106525
40,751.1485,-3.5375433,-7.164301,Rural_Kilimani,24.635284
41,724.4491,-4.411648,-2.3894095,Rural_Kilimani,28.368038
42,562.3899,-5.0199165,0.011549865,Rural_Kilimani,9.999543
43,430.90576,-0.74851924,-4.2633295,Rural_Kilimani,18.280817
44,521.1839,-9.584184,-4.515588,Rural_Hawassa,3.958571
45,352.63846,-12.666078,-8.249913,Rural_Akatsi,2.346471
46,677.30115,-8.034225,-2.8578897,Rural_Hawassa,5.464015
47,882.97363,-11.071062,0.007045251,Rural_Sokoto,12.417085
48,348.04813,-14.328679,-7.5516977,Rural_Hawassa,1.674974
49,844.4794,-4.0692153,-5.339932,Rural_Kilimani,12.948396
50,595.8842,-1.6496578,-4.335403,Rural_Kilimani,15.009357
51,765.6368,-6.317556,-7.87603,Rural_Amanzi,2.4664052
52,323.5712,-11.652297,-6.0922027,Rural_Hawassa,1.6096522
53,617.02545,-1.0729291,-3.0425787,Rural_Kilimani,15.53247
54,791.6723,-8.381164,0.22777136,Rural_Sokoto,8.3316145
55,699.857,-8.4802885,-0.5019762,Rural_Sokoto,28.39191
56,682.94977,-8.529852,1.1331989,Rural_Sokoto,7.440621
57,595.79346,-9.39945,-7.4616055,Rural_Akatsi,6.04603
58,818.9334,-2.0101132,-7.853507,Rural_Kilimani,11.042161
59,916.1268,-3.7583222,-3.8804371,Rural_Kilimani,4.922446
60,582.0468,-7.507059,-2.7677972,Rural_Hawassa,3.9680681
61,745.82074,-7.3989224,-0.23169932,Rural_Sokoto,2.0988882
62,771.5087,-3.717771,-0.4434162,Rural_Kilimani,1.3962917
63,719.2226,-6.9979157,0.13767907,Rural_Sokoto,5.20462
64,171.84935,-12.039786,-6.5877104,Rural_Hawassa,9.030433
65,686.5819,-7.2502346,-4.3894587,Rural_Hawassa,2.0298278
66,476.7244,-9.899582,-4.6011753,Rural_Hawassa,1.694283
67,785.53204,-4.4251647,-1.0515392,Rural_Kilimani,16.869127
68,509.11206,-10.552908,-9.110294,Rural_Akatsi,16.535124
69,620.59705,-7.2502346,-6.2048182,Rural_Hawassa,16.538836
